#	Runner	Time	Race	Age	Gender	Nationality
252	 ZANELLA Rudj	71:51:00	41	M	 ITA
253	 GRIESSBACH Denis	73:16:00	41	M	 GER
254	 GUAZZO Raffaele	73:22:00	50	M	 ITA
255	 MARTA Oskar	73:55:00	45	M	 ESP
256	 WILLIS Sarah	74:15:00	29	F	 USA
257	 van Dijk Frédéric	75:12:00	43	M	 FRA
258	 MOSCONI Corrado	75:37:00	47	M	 ITA
259	 ZANINI Riccardo	75:53:00	50	M	 ITA
260	 DALLA VECCHIA Daniele	75:53:00	31	M	 ITA
261	 PUJAL CARABANTES Pep	76:06:00	53	M	 AND
262	 Penov Vladimir	76:22:00	34	M	 BUL
263	 Brunazzi Carlo	76:42:00	44	M	 ITA
264	 LI Xue Sheng	76:48:00	52	M	 CHN
265	 SASSOLINI Vittorio	76:54:00	38	M	 ITA
266	 ROLAND Stephane	77:00:00	45	M	 FRA
267	 TSANG Woon Ming	77:03:00	45	F	 HKG
268	 TROFFIGUER Eric	77:21:00	51	M	 FRA
269	 ROTHAN Benoit	77:33:00	33	M	 FRA
270	 GRIMAUD Frederic	77:39:00	50	M	 FRA
271	 MALINVERNO Piero	77:40:00	54	M	 ITA
272	 ZAPATA MUNOZ Juan	77:48:00	42	M	 ESP
273	 CAL Mitchell	77:58:00	55	M	 CAN
274	 BONIN Charles	78:01:00	55	M	 FRA
275	 carminati Patrick	78:04:00	48	M	 FRA
276	 antonio Ricciardiello	78:12:00	43	M	 ITA
277	 MASTRODICASA Marcello	78:40:00	48	M	 ITA
278	 LACROIX Michel	78:42:00	65	M	 FRA
279	 ROIG CARCEL Josep	78:46:00	43	M	 AND
280	 NOLLY Dino Franco	79:07:00	44	M	 ITA
281	 HENTSCH Torsten	79:29:00	50	M	 GER
282	 SIMAO Diogo	79:49:00	36	M	 POR
283	 REYMONDET FOCHIRA Valter	81:19:00	57	M	 ITA
284	 TOMASETTI Ivano	75:47:00	46	M	 ITA
285	 Spurlock Dan	76:29:41	63	M	 USA
286	 enome Keiichi	76:47:41	32	M	 JPN
287	 Samaniego Jose	77:00:41	31	M	 ESP
288	 MICHELOTTI Giuseppe	77:27:41	45	M	 ITA
289	 GIACOBBE Paolo	77:57:41	30	M	 ITA
290	 Crucifero Antonella	77:58:41	46	F	 ITA
291	 Jegerlehner Beat	78:08:41	46	M	 USA
292	 BERTOLINI Michele	78:10:41	32	M	 ITA
293	 BERNINI Stefano	78:10:41	37	M	 ITA
294	 PAVON Fabrizio	78:12:41	36	M	 ITA
295	 MANGIN Christophe	78:12:41	50	M	 FRA
296	 TINDAL Miles	78:29:41	50	M	 CAN
297	 Milazzo Angelo	78:32:41	53	M	 ITA
298	 COLOMBO Emanuele	78:35:41	52	M	 ITA
