#	Runner	Time	Race	Age	Gender	Nationality
144	 MARCHAND Stephane	78:49:55	43	M	 FRA
145	 CHALEYSSIN Marie Helene	78:51:09	52	F	 FRA
146	 FOUDRINIER Emmanuel	79:50:16	35	M	 FRA
147	 GUIDETTI Enrico	79:53:05	54	M	 ITA
148	 PINTO FULLA Enric	79:53:55	34	M	 ESP
149	 BIL Marjolein	79:59:21	30	F	 NED
150	 Tallia Chiara	80:00:34	37	F	 ITA
151	 CARREL Stefano	80:05:49	45	M	 ITA
152	 LEVAI Valerie	80:16:22	55	F	 FRA
153	 URRUTIKOETXEA BILBAO Unai	80:28:00	41	M	 ESP
154	 MARZOTTO Ita Emanuela	80:35:25	52	F	 ITA
155	 MARANGON Roberto	80:36:23	47	M	 ITA
156	 SROKA Wojciech	80:38:11	37	M	 POL
157	 HOFFMANN Pierre	80:54:26	41	M	 FRA
158	 BOURGUIGNON Laurent	81:02:53	44	M	 BEL
159	 DOYEN Frederic	81:13:00	37	M	 FRA
160	 MAROQUIN Jean Luc	81:16:21	61	M	 FRA
161	 LEPLAT Guillaume	81:24:48	42	M	 FRA
162	 Brussolo Simone	81:26:29	36	M	 ITA
163	 GIULIO Bottone	81:30:49	47	M	 ITA
164	 GAO Qing	81:32:05	33	M	 CHN
165	 RECANZONE Renzo	81:37:59	23	M	 ITA
166	 Roberta Orsenigo	81:41:25	49	F	 ITA
167	 KIM Jeonghun	81:46:04	24	M	 KOR
168	 HOPWOOD Paul	81:49:26	52	M	 GBR
169	 BLONDEAU Thierry	81:51:38	48	M	 FRA
170	 BRINGEDAL Jard	82:05:46	53	M	 NOR
171	 LINDSTROM Tobias	82:05:54	36	M	 SWE
172	 CAPARICAS Paulo	82:06:13	47	M	 FRA
173	 DIEMOZ Paolo	82:11:16	52	M	 ITA
174	 ABBEY Gabriel	82:13:59	41	M	 FRA
175	 FACCHIN Vittorio	82:25:20	49	M	 ITA
176	 LAURENT Pascal	82:44:17	52	M	 FRA
177	 GASPERI Regis	82:52:53	53	M	 FRA
178	 GAUDIN Kevin	82:54:41	33	M	 FRA
179	 JONES Kingsley	82:55:07	40	M	 GBR
180	 WILLEMS Simon	83:06:24	45	M	 BEL
181	 PRAMOTTON Eligio	83:32:33	70	M	 ITA
182	 CUCCHI SERGIO	83:40:34	45	M	 ITA
183	 EHMKE Thomas	83:48:20	40	M	 GER
184	 NAVARRETTE Francois	83:49:45	49	M	 FRA
185	 PETUCCO Claudio	83:49:58	31	M	 LUX
186	 HRUBY Petr	84:06:05	42	M	 CZE
187	 PASQUALI Roberto	84:17:22	52	M	 ITA
188	 MONDARDINI Giorgio	84:21:50	55	M	 ITA
189	 DE CHIVRE Denis	84:25:18	43	M	 FRA
190	 De Prati Giovanni	84:48:06	37	M	 ITA
191	 TORELLI Claudio	85:08:40	62	M	 ITA
192	 CHAMOUX Jerome	85:08:56	44	M	 FRA
193	 LIGEON LIGEONNET Christophe	85:22:48	47	M	 FRA
194	 FELINSKI Jaroslaw	85:36:30	52	M	 POL
195	 Alfier Alessio	85:45:10	39	M	 ITA
196	 KUBO Akiko	86:02:14	32	F	 JPN
197	 FRIDRICH Laszlo	86:06:06	37	M	 HUN
198	 DUCLAIR Roberto	86:07:55	38	M	 ITA
199	 DEALBERTO Clara	86:12:05	44	F	 ITA
200	 SERRA HERNANDEZ Francisco	87:14:05	57	M	 ESP
201	 BOKOV Vasily	86:19:56	34	M	 UKR
202	 FREDEZ Jean Francois	86:28:54	50	M	 FRA
203	 Gorlero Riccardo	86:29:56	43	M	 ITA
204	 LESTAK Peter	86:39:32	48	M	 SVK
205	 DAVID Mousseaux	87:15:12	45	M	 FRA
206	 ROSSETTI Nicoletta	87:25:32	55	F	 ITA
207	 Hjelmér Magnus	87:25:48	34	M	 SWE
208	 GIRAUDEAU Xavier	92:25:09	43	M	 FRA
