#	Runner	Time	Age	Gender	Nationality
1	 RAICHON Sebastien	114:29:01	51	M	 FRA
2	 Erwee Tiaan	116:50:20	36	M	 RSA
3	 Kienzl Peter	120:59:40	48	M	 ITA
4	 GABIOUD Candide	132:59:16	39	M	 SUI
5	 GABIOUD Jules Henry	132:59:27	36	M	 CHE
6	 CHRISTIN BENOIT Julien	135:22:00	46	M	 FRA
6	 TIERNEY Paul	135:22:00	41	M	 IRL
8	 Dunkerbeck Thomas	143:14:05	47	M	 NED
9	 BOLIS Matteo	146:56:51	44	M	 ITA
10	 BOMBENGER Jean Francois	147:58:44	44	M	 FRA
11	 Kuchimi Taro	156:15:27	42	M	 JPN
12	 PASTA Dario	156:59:14	42	M	 ITA
13	 PUIT JUSTE Javier	158:14:18	44	M	 ESP
14	 Callisardi Giancarlo	158:33:20	51	M	 ITA
15	 PIROVANO Andrea	158:33:34	40	M	 ITA
16	 alfero Flavien	159:48:26	33	M	 FRA
17	 Wang Xiaolin	160:26:08	48	M	 CHN
18	 BIE Nicolas	160:50:37	46	M	 FRA
19	 KRIEGER Thibaut	161:46:46	45	M	 FRA
20	 GOLAY GEYMOND Florence	161:50:00	52	F	 SUI
20	 GUERAUD Laurent	161:50:00	55	M	 FRA
22	 GENT Anthony	162:35:55	48	M	 SUI
23	 VAN WOENSEL Thomas	162:53:00	29	M	 BEL
24	 PENNAZIO Sebastien	163:27:00	47	M	 FRA
25	 Annovazzi Giancarlo	164:01:00	58	M	 ITA
26	 PLAVAN Marina	164:12:00	62	F	 ITA
27	 PETR Kucera	165:03:38	51	M	 CZE
28	 DANET Fabien	165:29:09	49	M	 FRA
29	 JURADO CONTRERAS Jonatan	165:50:41	40	M	 ESP
30	 BARMASSE Piero	166:01:00	60	M	 ITA
31	 SOULOUMIAC Arnaud	166:37:54	52	M	 FRA
32	 DA COSTA VELOSO Alexandre	166:38:07	40	M	 AND
33	 MOYROUD Nicolas	167:25:23	54	M	 FRA
34	 DE MARCO Enrico	167:42:05	40	M	 ITA
35	 KEITH Eoin	169:00:33	55	M	 IRL
36	 Minerva Vito	169:13:00	53	M	 ITA
37	 Hansel Sarah	169:38:00	42	F	 USA
38	 VILLA Simone	169:44:00	45	M	 ITA
39	 ZHOU Daoting	169:48:00	33	M	 CHN
40	 Enrione Davide	169:55:51	42	M	 ITA
41	 Schwalger Andreas	171:14:00	42	M	 GER
42	 OEILLET Sylvain	172:03:15	48	M	 FRA
43	 LUBOZ Dante	172:05:24	59	M	 ITA
44	 RAO Shashwat	172:10:29	37	M	 IND
45	 BUCHE Jean Pascal	174:38:59	51	M	 BEL
46	 SOUDY Jonathan	175:55:35	44	M	 FRA
47	 GAVAZZENI Silvano	176:07:20	53	M	 ITA
48	 Hjelmér Magnus	176:16:05	42	M	 SWE
49	 CASTIGLIONE MARCO	176:16:06	47	M	 ITA
50	 SODERLUND Emil	176:16:07	48	M	 FIN
51	 Gustafsson Johan	176:16:08	47	M	 SWE
52	 MANGILI Ivo	177:38:00	55	M	 ITA
53	 FRONTINI Marco	177:41:00	48	M	 ITA
54	 PENNEMAN Aurelien	179:33:29	40	M	 FRA
55	 SEBANEK Martin	180:24:30	59	M	 CZE
56	 OST Vincent	180:28:27	46	M	 BEL
57	 RUIZ VELEZ Mingo	180:43:45	50	M	 ESP
58	 SOLIVERA CARLES	180:43:46	52	M	 ESP
59	 BANERAS BATLLE Sergi	180:43:51	44	M	 ESP
60	 DUPERRAY Remy	181:20:43	47	M	 FRA
61	 CHARREAU Benoist	181:20:44	48	M	 FRA
62	 TURIN Nicholas	181:28:00	51	M	 SUI
63	 higueret Stephane	181:36:58	55	M	 FRA
64	 PALMA Raphael	181:37:00	53	M	 FRA
65	 Ekse Kaisa	181:38:08	46	F	 FIN
