#	Runner	Time	Age	Gender	Nationality
1	 Erwee Tiaan	122:09:41	37	M	 RSA
2	 FOHRMEISTER Volker	138:32:15	39	M	 GER
3	 Roncato Alessandro	143:01:51	44	M	 ITA
4	 BERO Stephan	150:11:04	53	M	 BEL
5	 GALVE Javier	152:17:34	42	M	 ESP
6	 Carrelli Thomas	152:17:51	36	M	 ITA
7	 MOYROUD Nicolas	155:21:59	55	M	 FRA
8	 BERTHON Mickael	155:27:31	37	M	 FRA
9	 GUERAUD Laurent	156:23:16	56	M	 FRA
10	 Hansel Sarah	157:32:18	43	F	 USA
11	 PENNAZIO Sebastien	159:08:43	48	M	 FRA
12	 THIERRY Ador	159:08:45	53	M	 FRA
13	 CHAMPIGNY Julien	159:33:44	45	M	 FRA
14	 LE CLAINCHE Pierre	159:33:47	38	M	 FRA
15	 KRIEGER Thibaut	159:33:48	46	M	 FRA
16	 PLAVAN Marina	159:58:59	63	F	 ITA
17	 BRAMBILLA Luca	160:23:07	27	M	 ITA
18	 NOLLY Dino Franco	160:29:41	53	M	 ITA
19	 BUCHOWICZ Krzysztof	162:23:15	49	M	 POL
20	 VIDAL SALVI Jordi	162:23:24	54	M	 ESP
21	 BANERAS BATLLE Sergi	162:23:25	45	M	 ESP
22	 DANET Fabien	164:21:41	50	M	 FRA
23	 FINK Katja	164:28:00	49	F	 SUI
24	 HAEBLER Stefan	164:46:02	49	M	 SUI
25	 Wang Xiaolin	168:46:46	49	M	 CHN
26	 PASTA Dario	169:31:13	43	M	 ITA
27	 Carminati Mirko	170:41:37	37	M	 ITA
28	 Barbieri Ranieri Brook	173:37:10	52	M	 ITA
29	 DIETRICH Christophe	173:50:53	54	M	 FRA
30	 Santos Nuno	175:13:03	52	M	 POR
31	 RENSON Patrice	178:17:54	47	M	 BEL
32	 MORA Federico	178:19:25	38	M	 ITA
33	 RAO Shashwat	178:29:08	38	M	 IND
34	 BICELLI Raphael	178:49:48	42	M	 FRA
35	 GIOVANNINI Giacomo	178:49:51	41	M	 ITA
36	 Hewitt Michael	178:49:56	55	M	 USA
37	 GUERY Benjamin	178:50:30	39	M	 FRA
38	 Flavelle Erika	180:15:06	46	F	 CAN
39	 JOUFFREY Olivier	182:16:28	54	M	 FRA
40	 CIAPA Philippe	182:22:59	61	M	 FRA
41	 jonathan Menin	182:23:15	40	M	 FRA
42	 SIMARD Arnaud	183:27:41	51	M	 FRA
43	 NOVELLO Moreno	183:29:28	58	M	 ITA
44	 COMERO Roberto	183:29:30	30	M	 ITA
45	 SOLIVERA CARLES	183:29:36	53	M	 ESP
46	 GUASINA Giorgio	183:29:39	63	M	 ITA
47	 BIANCHINI FLAVIANO	183:52:11	42	M	 ITA
48	 Patrich Tognoni	183:56:29	49	M	 ITA
49	 Khalyapin Alexander	184:33:37	56	M	 EST
50	 Dessambre Nicolas	184:59:44	35	M	 BEL
51	 DIMZAS Evangelos	185:09:16	47	M	 GRE
52	 ROSSI Carlo	185:15:16	52	M	 ITA
53	 FRANCISCO Flavio	185:16:30	51	M	 POR
54	 KUEHN Philip	185:16:31	46	M	 GER
55	 BONGIOANNI Fabrizio	185:17:15	35	M	 ITA
56	 FELIX Christophe	185:21:25	46	M	 BEL
57	 ADET Benoit	185:30:35	37	M	 FRA
58	 PETTINATO Filippo	185:43:59	44	M	 ITA
59	 QUIRK Thomas	185:50:41	49	M	 USA
60	 ARGELICH Enrique	187:10:12	65	M	 ESP
61	 SOLER Jean Pierre	187:15:12	49	M	 FRA
62	 PONCE Sebastien	187:15:17	49	M	 FRA
63	 RIGARD Mickael	187:16:04	42	M	 FRA
64	 RASO Andrea	187:24:23	53	M	 ITA
65	 Milani Diego	187:26:01	53	M	 ITA
66	 DURANTI Luca	188:28:54	45	M	 ITA
67	 GIACCHETTA Stephane	188:31:46	49	M	 BEL
68	 SHAO Sebastien	189:54:33	50	M	 FRA
DNF	 AGNOLI Cristian		53	M	 ITA
DNF	 ALEXANDRU Florin		45	M	 ROU
DNF	 ANDERSON John		46	M	 USA
DNF	 ANGEL ANDRADE Julio Cesar		58	M	 MEX
DNF	 Annovazzi Giancarlo		59	M	 ITA
DNF	 ANTONIN Claudio Roger		47	M	 ITA
DNF	 BENSO Alfredo		54	M	 ITA
DNF	 BIE Nicolas		47	M	 FRA
DNF	 BLANC Abele		70	M	 ITA
DNF	 BOKMAN Jakob		57	M	 SWE
DNF	 Bortolotti Elisabetta		54	F	 ITA
DNF	 BRACOTTO Giovanni Giuseppe		59	M	 ITA
DNF	 BUITRAGO Javier		40	M	 COL
DNF	 Callisardi Giancarlo		52	M	 ITA
DNF	 CALVO REQUENA Albert		54	M	 AND
DNF	 CASTELLAIN Edouard		32	M	 FRA
DNF	 CATTANEO Martino		64	M	 ITA
DNF	 CATTELAN Fabio		48	M	 ITA
DNF	 CESTINO Enrique		46	M	 ESP
DNF	 CLARK Stephen		39	M	 AUS
DNF	 Colls Avila Oscar		47	M	 ESP
DNF	 COMPAGNONI Gustavo		52	M	 ARG
DNF	 CRUSSY Thierry		60	M	 FRA
DNF	 DA COSTA VELOSO Alexandre		41	M	 AND
DNF	 D'Agostino maurizio		49	M	 ITA
DNF	 DE SANTIAGO IGLESIAS Luis		55	M	 ESP
DNF	 DEMETER Michal		53	M	 SVK
DNF	 DENIS Bernard		49	M	 BEL
DNF	 DESPRETZ Thomas		38	M	 FRA
DNF	 DISTORT Corrado		57	M	 ITA
DNF	 DOMNIN Erard		39	M	 FRA
DNF	 DOSSENA Paolo		54	M	 ITA
DNF	 DOUILLET David		48	M	 FRA
DNF	 Durao Paulo		48	M	 POR
DNF	 fages Perrine		44	F	 FRA
DNF	 FERNANDEZ Sylvain		40	M	 BEL
DNF	 FERRARIO Andrea		42	M	 ITA
DNF	 FIORI Giorgio		62	M	 ITA
DNF	 Flamia Stefano		49	M	 ITA
DNF	 FOIADELLI Elio		61	M	 ITA
DNF	 Forzani Adriano		55	M	 ITA
DNF	 GAFFURI Paolo		57	M	 ITA
DNF	 GIL Frederic		56	M	 FRA
DNF	 GOFFLOT Frederic		54	M	 FRA
DNF	 GREMEAUX Denis		55	M	 FRA
DNF	 Grise Dominic		53	M	 GBR
DNF	 gu Haiyan		45	F	 CHN
DNF	 HAYLETT Philip		49	M	 GBR
DNF	 hernandez ruiz Javier		53	M	 MEX
DNF	 HERRERO Albert		42	M	 ESP
DNF	 Herrmann Sebastien		51	M	 FRA
DNF	 HJELMSTROM Peter		51	M	 SWE
DNF	 HOPWOOD Paul		61	M	 GBR
DNF	 HUNZIKER Ivan		41	M	 SUI
DNF	 IANCU David		31	M	 ROU
DNF	 ISERNIA Ruggiero		55	M	 ITA
DNF	 JACOBS Erik		60	M	 NED
DNF	 JANSSEN Rick		37	M	 NED
DNF	 JOUNEAU PIERRE HENRI		59	M	 FRA
DNF	 KOT Rafal		45	M	 POL
DNF	 KRAWCZYK Tomasz		52	M	 POL
DNF	 LEPOUTRE Antoine		46	M	 BEL
DNF	 LOCATELLI Michele Oriele		61	M	 ITA
DNF	 LOVERA Pierluigi		64	M	 ITA
DNF	 Lucas-Frost Jonathan		49	M	 GBR
DNF	 MADEIRA Luis		54	M	 POR
