#	Runner	Time	Age	Gender	Nationality
1	 PAPI Luca	134:10:01	39	M	 ITA
2	 RICHARD Victor	139:46:59	33	M	 BEL
3	 Ono Masahiro	140:22:52	38	M	 JPN
4	 DOVE Matthew	157:36:52	35	M	 RSA
5	 Kuchimi Taro	158:22:48	38	M	 JPN
6	 GUERINI Luca	158:37:09	53	M	 ITA
7	 ANDERSON John	161:39:31	41	M	 USA
8	 SCIEBURA Pawel	162:31:52	42	M	 POL
9	 NADLER Kurt	163:49:25	52	M	 SUI
10	 GEOFFROY Julien	166:07:56	41	M	 FRA
11	 ZANARELLA Cristiano	166:35:28	48	M	 ITA
12	 DIEMOZ Paolo	166:35:43	56	M	 ITA
13	 GIRGIN Serkan	168:13:25	40	M	 TUR
14	 GIRGIN Sertan	168:13:38	40	M	 TUR
15	 Gonzalez Rodriguez Fernando	171:46:00	45	M	 ESP
16	 FIRTH Darren	172:43:00	50	M	 GBR
17	 BERETTA Marco	172:53:31	59	M	 ITA
18	 SAVIOZZI Francesco	172:53:50	41	M	 ITA
19	 TAKEDA Kentaro	177:59:29	41	M	 JPN
20	 CALVO REQUENA Albert	177:59:41	49	M	 AND
21	 Luca Franceschini	179:30:16	46	M	 ITA
22	 SIMAO Diogo	182:43:45	40	M	 POR
23	 De Prati Giovanni	182:51:56	41	M	 ITA
24	 TRAINA Christophe	183:04:11	47	M	 BEL
25	 BAARS Anouk	183:06:20	41	F	 NED
26	 JAVEGA David	183:37:48	35	M	 ESP
27	 PUIT JUSTE Javier	183:55:46	40	M	 ESP
28	 FONIO Stefano	183:58:31	50	M	 ITA
29	 SAITO Toshiyuki	184:20:21	36	M	 JPN
30	 CRETIN Jean Noel	184:28:14	56	M	 FRA
31	 Souchon Frederic	185:51:49	50	M	 FRA
32	 ARNUS Matej	186:12:38	41	M	 SLO
33	 PONCE Sebastien	186:21:22	44	M	 FRA
34	 GIRARD Norbert	186:25:58	53	M	 FRA
35	 PEREZ PALENCIA Santiago	186:30:30	50	M	 ESP
36	 PLAVAN Marina	187:09:19	58	F	 ITA
37	 ISERNIA Ruggiero	187:43:50	50	M	 ITA
38	 gallizia Michele	187:56:38	57	M	 ITA
39	 MAGNIN Luciano	187:56:48	49	M	 ITA
40	 RUBALDO Paolo	188:32:40	48	M	 ITA
DNF	 Alfier Alessio		43	M	 ITA
DNF	 ALLEGUEDE Stephane		47	M	 FRA
DNF	 BONCOMPAGNI Roberto		44	M	 ITA
DNF	 BOURGUIGNON Laurent		48	M	 BEL
DNF	 Buzzolan Corrado		55	M	 ITA
DNF	 CAPARICAS Paulo		51	M	 FRA
DNF	 CHAMOUX Jerome		48	M	 FRA
DNF	 DE MOTTONI Tommaso		41	M	 ITA
DNF	 DEGLI INNOCENTI Stefano		57	M	 ITA
DNF	 DOLAH Mohd Puzi		53	M	 MAS
DNF	 DUFOUR Olivier		44	M	 MON
DNF	 DUTZ Olivier		53	M	 BEL
DNF	 FEINHAUS Dima		56	M	 USA
DNF	 FUGIEL Jacek		57	M	 POL
DNF	 GAGGERO Ugo		49	M	 ITA
DNF	 GASPARINI Thierry		48	M	 FRA
DNF	 GENOIS Alexandre		29	M	 CAN
DNF	 GRANT Bruce		54	M	 CAN
DNF	 JACQMIN Nathanael		54	M	 BEL
DNF	 JEANCLAUDE Eric		55	M	 FRA
DNF	 JOUBERT Franck		52	M	 FRA
DNF	 KANOBELJ Marco		49	M	 ITA
DNF	 KISSIYAR Ouns		45	M	 BEL
DNF	 LA MARTINA Dario		63	M	 ITA
DNF	 LANDRESSE Christian		50	M	 LUX
DNF	 LONGHINI Piero		57	M	 ITA
DNF	 LUET Dominique		51	M	 FRA
DNF	 MACCHIAVELLO Giorgio		54	M	 ITA
DNF	 MADRIGAL Ligia		47	F	 CRC
DNF	 MANOLINO Davide		52	M	 ITA
DNF	 MARCHETTI Franco		58	M	 ITA
DNF	 MARIN Janne		50	M	 FIN
DNF	 MARMONTI Osvaldo		53	M	 ITA
DNF	 MARZOTTO Ita Emanuela		56	F	 ITA
DNF	 MAYEN Jean Sebastien		33	M	 FRA
DNF	 Menni Fabio		52	M	 ITA
DNF	 MINOGGIO Sergio		54	M	 ITA
DNF	 MOISSINAC Patrick		57	M	 FRA
DNF	 MORASSO Umberto		60	M	 ITA
DNF	 MORO Franco		57	M	 ITA
DNF	 OEILLET Sylvain		44	M	 FRA
DNF	 PALAZZI Gaetano		54	M	 ITA
DNF	 PAPA Fabrizio		53	M	 ITA
DNF	 Paschetto Renzo		53	M	 ITA
DNF	 Petersen Heine		56	M	 DEN
DNF	 Piazzo Mario		41	M	 ITA
DNF	 PICA Massimo		58	M	 ITA
DNF	 PROSSEN Francesco		53	M	 ITA
DNF	 RAMOS Mario Wilbert		53	M	 PER
DNF	 RINALDO Alfio		61	M	 ITA
DNF	 ROMBOLETTI Oscar		61	M	 ITA
DNF	 Samaniego Jose		35	M	 ESP
DNF	 SANGUINETI Charlie		45	M	 ITA
DNF	 SERRAZINA Jorge		63	M	 POR
DNF	 Szymik Marcin		46	M	 POL
DNF	 Thiebat Orlando		65	M	 ITA
DNF	 THIERRY Ador		48	M	 FRA
DNF	 TRIBOLO Philippe		44	M	 FRA
DNF	 VIGLINO Frederic		48	M	 FRA
DNF	 ZAPATA MUNOZ Juan		46	M	 ESP
